TLM International Inc.,,,,,,,
Inventory Availability,,,,,,,
  ,,,,,,,
Part,Description,"On
Hand",Allocated,Available,"Available
to Pick","On
Order",Committed
1000-FLTR2023,"Filter for A6055, GEN30 Elite Heater - SCI",810,0,810,810,0,0
10190,"Nation Creation - SCRelief Basic Herb Pack, Red/Blue Marble",0,0,0,0,0,0
10191,Nation Creation - SCRelief Spine & Back Pack,0,0,0,0,0,0
10192,"Nation Creation - SCRelief Upper Body Wrap, Red/Blue Marble",0,0,0,0,0,0
1050T3-24,Forklift Charge Used Condition Model Number 1050T3-24,1,0,1,1,0,0
2-CH2.5-3P-2000-WT,Signal Connection Wire,5,0,5,5,0,0
20669RB-BR-SN,Installation bracket,0,0,0,0,0,0
20669RB-SN,"LED Puck Light, 12-24V DC, 1.5W/2.5W/3.5W , 3000K/4000K/5000K",25,0,25,25,50,0
20881B-SG-WW,LED low-voltage cabinet light,0,0,0,0,0,0
20924-DF-3000,"LED Light Cover, White",0,0,0,0,32,0
20925-EC-TG,Single Door Control End Cap Kit,0,0,0,0,0,0
20925-IB-S2-TG,Installation Brackets,0,0,0,0,0,0
20925-RL-TG,"Connector for Door Control, Black",0,0,0,0,0,0
20925-TG-3000,10 Feet LED Light,0,0,0,0,32,0
20925W-TG,Sensor Switch of LED Drawer Light,0,0,0,0,0,0
21806-3000-TG,"LED track  (Size : 3000x14x12mm , Cutout : 12x12mm)",0,0,0,0,50,0
21806A30-TG-NW-24V,"LED spot light on track, DC 24V, 1W, 4000K",0,0,0,0,200,0
21806B30-TG-NW-24V,"LED spot light on track, DC 24V, 1W, 4000K",0,0,0,0,200,0
21806BR-3000-TG,"Mini Track cover, PVC material, 10.1x7.9x3000mm",0,0,0,0,50,0
21806C-TG-NW-24V,"LED spot light on track, DC 24V, 7W, 4000K, 7 pcs",0,0,0,0,100,0
21806CP-TG,"Mini Track Charger, Input DC 12V/24V, Output 5V, 2A/10W, with Type-C charging port",0,0,0,0,50,0
21806D-3000-TG-NW-24V,"W/ini Track Anti-glare Linear Light, DC 24V, 7.5W/M, 4000K, 3000mm",0,0,0,0,50,0
21806D-EC-TG,End Caps of Anti-glare Linear Light,0,0,0,0,200,0
21806F-TG-NW-24V,"Mini Track LED Puck Light, DC 24V, 2W, 4000K, 50x12.6mm",0,0,0,0,5,0
21806IB-S10,"Installation Bracket (Stainless steel), 10 pcs/set",0,0,0,0,30,0
21806IC-TG,"180 Degree Connector, DC 24V, 5A",0,0,0,0,50,0
21806IP-TG,"Input Connector, DC 24V, 5A",0,0,0,0,50,0
21806LC-TG,"90 Degree Connector, DC 24V, 5A",0,0,0,0,50,0
21806M-TG,"Input connector with movement sensor, DC 24V, 3A",0,0,0,0,50,0
21806TC-TG,"90 Degree Connector, DC 24V, 5A",0,0,0,0,50,0
31032-1000-GR-WW,LED glass splint light,0,0,0,0,0,0
31038-3000-TG-NW-12W/M-24V,LED undercabinet light,15,0,15,15,0,0
31038-EC-TG,Extension cable,100,0,100,100,0,0
31044-1000-GR-WW-7.5W/M,LED surface-mounted rear shelf light,0,0,0,0,0,0
31045-1000-GR-WW,LED glass rear shelf light,0,0,0,0,0,0
31056-3000-TG-5000K-12W/M-24V,"Surface mount Solder free LED linear light, DC 24V, 12W/M, 5000K, 3M/pc",25,0,25,25,25,0
31056-3000-TG-NW-12W/M-24V,"Surface mount Solder free LED linear light, DC 24V, 12W/M, 4000K, 3M/pc",0,0,0,0,50,0
31056-559-TG-CW-24V-24V,LED-FS24 COOL WHITE,5,0,5,5,0,0
31056-566-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31056-762-TG-CW-24V-24V,LED-FS30 COOL WHITE,5,0,5,5,0,0
31056-769-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31056-914-TG-CW-24V-24V,LED-FS36 COOL WHITE,5,0,5,5,0,0
31056-921-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31056-EC,"Solder-free connect wire and end cap kit  (1.5M 24# White Cable with 91505-MP, End Cap)",100,0,100,100,200,0
31056-IB-S10,"Installation Bracket - stainless steel, 10 pcs (with screws)",10,0,10,10,50,0
31056-WIC,"Linking Cable, 2M24# White Cable with End Caps",50,0,50,50,150,0
31119C-1000-GR-WW,LED recessed cabinet light strip,0,0,0,0,0,0
31121M-1000-GR-WW,LED hand-scan sensor handle-free aluminum lamp,0,0,0,0,0,0
31121M-724-GR-WW,"LED hand-scan sensor handle-free aluminum, 724-GR",0,0,0,0,0,0
31121M-800-GR-WW,"LED hand-scan sensor handle-free aluminum, 800-GR",0,0,0,0,0,0
31121M-876-GR-WW,"LED hand-scan sensor handle-free aluminum, 876-GR",0,0,0,0,0,0
31122K-1000-GR-WW,LED light line separation embedded lamp bar,0,0,0,0,0,0
31127-1000-GR-WW,LED surface-mounted cabinet strip lights,0,0,0,0,0,0
31130K-1000-GR-WW,LED cord break recessed light strip,0,0,0,0,0,0
31134-178-TG-CW-24V,LED-W09 COOL WHITE,5,0,5,5,0,0
31134-186-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31134-254-TG-CW-24V,LED-W12 COOL WHITE,5,0,5,5,0,0
31134-262-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31134-3000-TG-5000K-24V,"Solder-free LED Surface mount linear light, DC 24V, 12W/M, 5000K, 3M/pc",48,0,48,48,144,0
31134-3000-TG-CW-12W/M-24V,"LED Aluminum Strip Light, 24V DC, 12W/M, CW6500K, Anthracite",0,0,0,0,0,0
31134-3000-TG-CW-24V,LED-10 FT COOL WHITE (9.8 ft),5,0,5,5,0,0
31134-3000-TG-NW-12W/M-24V,"LED Solder-Free Linear Light, 24V DC, 12W/M, NW4000K, Anthracite",24,0,24,24,0,0
31134-3000-TG-WW-12W/M-24V,"LED Aluminum Strip Light, 24V DC, 12W/M, WW3000K, Anthracite",0,0,0,0,0,0
31134-330-TG-CW-24V,LED-W15 COOL WHITE,5,0,5,5,0,0
31134-338-TG-5000K-12W/M-24V,LED undercabinet light,35,0,35,35,0,0
31134-381-TG-CW-24V,LED-WDC COOL WHITE,5,0,5,5,0,0
31134-389-TG-5000K-12W/M-24V-S2,LED undercabinet light,35,0,35,35,0,0
31134-406-TG-CW-24V,LED-W18 COOL WHITE,5,0,5,5,0,0
31134-414-TG-5000K-12W/M-24V,LED undercabinet light,35,0,35,35,0,0
31134-483-TG-CW-24V,LED-W21 COOL WHITE,5,0,5,5,0,0
31134-491-TG-5000K-12W/M-24V,LED undercabinet light,35,0,35,35,0,0
31134-559-TG-CW-24V,LED-W24 COOL WHITE,5,0,5,5,0,0
31134-567-TG-5000K-12W/M-24V,LED undercabinet light,35,0,35,35,0,0
31134-635-TG-CW-24V,LED-W27 COOL WHITE,5,0,5,5,0,0
31134-643-TG-5000K-12W/M-24V,LED undercabinet light,35,0,35,35,0,0
31134-711-TG-CW-24V,LED-W30 COOL WHITE,10,0,10,10,0,0
31134-719-TG-5000K-12W/M-24V,LED undercabinet light,50,0,50,50,0,0
31134-787-TG-CW-24V,LED-W33 COOL WHITE,10,0,10,10,0,0
31134-795-TG-5000K-12W/M-24V,LED undercabinet light,50,0,50,50,0,0
31134-864-TG-CW-24V,LED-W36 COOL WHITE,30,0,30,30,0,0
31134-872-TG-5000K-12W/M-24V,LED undercabinet light,50,0,50,50,0,0
31134-940-TG-CW-24V,LED-W39 COOL WHITE,5,0,5,5,0,0
31134-948-TG-5000K-12W/M-24V,LED undercabinet light,25,0,25,25,0,0
31134-EC-TG,End Caps & Wires Kit of LED Solder-Free Linear Light (Surface Mounted),40,0,40,40,600,0
31134-IB-S10,Installation Brackets,44,0,44,44,150,0
31134-IC-TG,End to End Connector,48,0,48,48,"1,000",0
31134-WIC-TG,Linking Cable,44,0,44,44,600,0
31134M-EC-TG,End Cap with Movement Switch & Dimmer,0,0,0,0,0,0
31134P-EC-TG,Solder-Free Connect Wire and End Cap Kit (with PIR Sensor Switch),0,0,0,0,0,0
31138-3000-TG-CW-12W/M-24V,"LED Free-Soldering Profile Light, 24V DC, 12W/M, CW6500K, Anthracite",0,0,0,0,0,0
31138-3000-TG-NW-12W/M-24V,"LED Free-Soldering Profile Light, 24V DC, 12W/M, NW4000K, Anthracite",20,0,20,20,72,0
